,All_Kaz,Aqmola,Aqtöbe,Almaty,Atyrau,West_Kaz,Zhambyl,Qaraghandy,Qostanay,Qyzylorda,Türkistan,Pavlodar,North_Kaz,East_Kaz,Canada
2004,8.4,7.1,5.3,17.4,4.0,5.6,16.9,6.9,8.0,14.4,20.2,6.5,9.4,11.6,26.4
2005,9.5,21.6,4.7,29.1,1.3,3.9,15.5,3.9,10.4,13.4,15.0,5.4,11.0,10.4,27.4
2006,11.3,23.1,2.9,15.7,0.9,5.9,9.9,6.3,13.3,13.8,12.8,6.9,14.4,9.4,26.1
2007,13.0,25.4,7.7,18.9,0.0,8.5,12.4,8.1,14.9,11.8,15.6,8.6,15.0,12.1,23.3
2008,9.7,20.5,8.2,8.8,0.0,13.3,6.5,5.8,11.5,8.7,9.0,3.9,12.2,4.2,28.6
2009,11.9,22.3,6.4,32.099999999999994,0.0,5.8,21.9,7.8,11.0,13.2,19.3,13.9,14.4,16.0,27.9
2010,7.3,11.899999999999999,2.4,18.0,0.0,4.4,14.6,4.6,7.3,12.4,14.7,5.7,9.6,9.8,28.1
2011,16.6,29.7,7.4,19.0,0.0,9.5,15.4,10.8,18.3,7.8,14.1,7.6,20.9,10.7,29.6
2012,7.9,13.1,2.8,16.3,0.0,5.8,8.6,6.5,6.1,4.7,10.9,3.8,11.5,10.9,28.7
2013,10.8,17.4,5.2,18.2,2.9,7.1,16.5,11.5,9.6,7.1,19.4,12.0,12.4,14.2,36.0
2014,10.9,16.7,4.8,27.7,0.0,8.8,8.5,9.4,9.9,8.8,13.2,5.8,13.8,12.4,30.8
2015,11.9,14.100000000000001,5.8,36.5,0.0,7.8,15.6,9.2,11.4,11.0,18.3,8.8,15.5,11.0,28.9
2016,12.1,18.5,11.7,28.0,0.0,15.6,21.3,11.9,10.5,14.9,21.1,10.1,14.8,12.7,35.8
2017,12.4,17.2,12.7,27.0,0.0,16.2,21.1,9.6,11.3,15.1,16.4,10.0,16.7,11.3,33.4
2018,12.3,16.9,11.0,26.4,0.0,7.7,22.5,11.9,11.4,16.8,23.5,11.2,15.4,14.4,32.2
2019,10.1,17.7,8.2,19.7,0.0,10.8,19.8,9.1,7.3,16.3,33.3,7.9,14.2,16.2,33.5
2020,11.8,18.4,11.1,24.1,0.0,14.3,21.2,10.8,10.2,15.4,29.9,8.7,14.4,12.6,35.1
2021,9.3,8.7,5.6,19.7,0.0,7.5,11.5,9.2,7.2,9.2,18.6,11.8,11.5,15.9,33.6
