region,product,year,"million, tenge"
Republic of Kazakhstan,all,1999,"98,709.8"
Republic of Kazakhstan,all,2000,"101,097.1"
Republic of Kazakhstan,all,2001,"144,137.8"
Republic of Kazakhstan,all,2002,"123,583.5"
Republic of Kazakhstan,all,2003,"140,146.2"
Republic of Kazakhstan,all,2004,"168,362.2"
Republic of Kazakhstan,all,2005,"174,036.7"
Republic of Kazakhstan,all,2006,"187,929.8"
Republic of Kazakhstan,all,2007,"291,078.0"
Republic of Kazakhstan,all,2008,"364,034.0"
Republic of Kazakhstan,all,2009,"443,852.3"
Republic of Kazakhstan,all,2010,"280,644.6"
Republic of Kazakhstan,all,2011,"682,886.9"
Republic of Kazakhstan,all,2012,"396,032.6"
Republic of Kazakhstan,all,2013,"572,619.9"
Republic of Kazakhstan,all,2014,"589,501.7"
Republic of Kazakhstan,all,2015,"680,402.4"
Republic of Kazakhstan,all,2016,"856,270.0"
Republic of Kazakhstan,all,2017,"975,407.3"
Republic of Kazakhstan,all,2018,"1,067,683.0"
Republic of Kazakhstan,all,2019,"1,267,249.3"
Republic of Kazakhstan,all,2020,"1,670,303.4"
Aqmola,all,1999,"23,935.0"
Aqmola,all,2000,"23,699.3"
Aqmola,all,2001,"39,010.4"
Aqmola,all,2002,"29,458.1"
Aqmola,all,2003,"34,511.9"
Aqmola,all,2004,"38,677.4"
Aqmola,all,2005,"36,266.8"
Aqmola,all,2006,"36,306.9"
Aqmola,all,2007,"64,552.3"
Aqmola,all,2008,"67,135.3"
Aqmola,all,2009,"111,725.3"
Aqmola,all,2010,"41,857.7"
Aqmola,all,2011,"151,386.4"
Aqmola,all,2012,"68,082.6"
Aqmola,all,2013,"128,090.4"
Aqmola,all,2014,"126,451.7"
Aqmola,all,2015,"147,604.9"
Aqmola,all,2016,"201,245.3"
Aqmola,all,2017,"208,678.3"
Aqmola,all,2018,"235,412.6"
Aqmola,all,2019,"300,721.0"
Aqmola,all,2020,"416,494.3"
Aqtöbe,all,1999,"3,680.4"
Aqtöbe,all,2000,"4,427.7"
Aqtöbe,all,2001,"5,154.7"
Aqtöbe,all,2002,"3,936.1"
Aqtöbe,all,2003,"5,182.0"
Aqtöbe,all,2004,"5,169.7"
Aqtöbe,all,2005,"4,356.2"
Aqtöbe,all,2006,"2,986.2"
Aqtöbe,all,2007,"7,124.1"
Aqtöbe,all,2008,"12,195.9"
Aqtöbe,all,2009,"10,271.7"
Aqtöbe,all,2010,"5,168.7"
Aqtöbe,all,2011,"14,413.4"
Aqtöbe,all,2012,"10,335.3"
Aqtöbe,all,2013,"14,446.6"
Aqtöbe,all,2014,"14,825.6"
Aqtöbe,all,2015,"17,214.3"
Aqtöbe,all,2016,"26,428.2"
Aqtöbe,all,2017,"30,155.2"
Aqtöbe,all,2018,"33,598.6"
Aqtöbe,all,2019,"42,343.5"
Aqtöbe,all,2020,"54,387.8"
Almaty,all,1999,"8,170.2"
Almaty,all,2000,"5,529.4"
Almaty,all,2001,"5,632.6"
Almaty,all,2002,"9,762.8"
Almaty,all,2003,"11,068.2"
Almaty,all,2004,"14,314.4"
Almaty,all,2005,"16,056.6"
Almaty,all,2006,"17,410.3"
Almaty,all,2007,"21,044.7"
Almaty,all,2008,"26,473.4"
Almaty,all,2009,"34,470.3"
Almaty,all,2010,"36,271.9"
Almaty,all,2011,"41,050.7"
Almaty,all,2012,"46,246.4"
Almaty,all,2013,"56,190.7"
Almaty,all,2014,"72,961.2"
Almaty,all,2015,"77,821.5"
Almaty,all,2016,"92,133.8"
Almaty,all,2017,"95,238.5"
Almaty,all,2018,"107,802.3"
Almaty,all,2019,"119,491.0"
Almaty,all,2020,"126,779.8"
Atyrau,all,1999,376.5
Atyrau,all,2000,341.69999999999999
Atyrau,all,2001,399
Atyrau,all,2002,375.89999999999998
Atyrau,all,2003,433.30000000000001
Atyrau,all,2004,400.89999999999998
Atyrau,all,2005,522.60000000000002
