region,product,centner_hect,year
Aqmola,wheat,7.0999999999999996,2004
Aqmola,wheat,21.800000000000001,2005
Aqmola,wheat,23.199999999999999,2006
Aqmola,wheat,25.600000000000001,2007
Aqmola,wheat,20.600000000000001,2008
Aqmola,wheat,22.600000000000001,2009
Aqmola,wheat,11.600000000000001,2010
Aqmola,wheat,29.799999999999997,2011
Aqmola,wheat,12.699999999999999,2012
Aqmola,wheat,17.789999999999999,2013
Aqmola,wheat,16,2014
Aqmola,wheat,14.100000000000001,2015
Aqmola,wheat,19,2016
Aqmola,wheat,17.5,2017
Aqmola,wheat,17.509999999999998,2018
Aqmola,wheat,18,2019
Aqmola,wheat,18.699999999999999,2020
Aqmola,wheat,8.6999999999999993,2021
Aqtöbe,wheat,5.2999999999999998,2004
Aqtöbe,wheat,4.7000000000000002,2005
Aqtöbe,wheat,2.8999999999999999,2006
Aqtöbe,wheat,7.7999999999999998,2007
Aqtöbe,wheat,8.5,2008
Aqtöbe,wheat,6.2999999999999998,2009
Aqtöbe,wheat,2.3999999999999999,2010
Aqtöbe,wheat,7.5,2011
Aqtöbe,wheat,2.8999999999999999,2012
Aqtöbe,wheat,5.0099999999999998,2013
Aqtöbe,wheat,4.7000000000000002,2014
Aqtöbe,wheat,5.5999999999999996,2015
Aqtöbe,wheat,11.9,2016
Aqtöbe,wheat,12.300000000000001,2017
Aqtöbe,wheat,11.01,2018
Aqtöbe,wheat,8.4499999999999993,2019
Aqtöbe,wheat,11.199999999999999,2020
Aqtöbe,wheat,5.7999999999999998,2021
Almaty,wheat,31.399999999999999,2004
Almaty,wheat,30.199999999999999,2005
Almaty,wheat,28.700000000000003,2006
Almaty,wheat,31.299999999999997,2007
Almaty,wheat,23.5,2008
Almaty,wheat,33.200000000000003,2009
Almaty,wheat,31.199999999999999,2010
Almaty,wheat,34.299999999999997,2011
Almaty,wheat,28.299999999999997,2012
Almaty,wheat,24.84,2013
Almaty,wheat,37,2014
Almaty,wheat,39.299999999999997,2015
Almaty,wheat,37.299999999999997,2016
Almaty,wheat,35.600000000000001,2017
Almaty,wheat,41.829999999999998,2018
Almaty,wheat,47.420000000000002,2019
Almaty,wheat,33.899999999999999,2020
Almaty,wheat,32.299999999999997,2021
Atyrau,wheat,3.1000000000000001,2004
Atyrau,wheat,1.3999999999999999,2005
Atyrau,wheat,1,2006
Atyrau,wheat,1.3,2007
Atyrau,wheat,6.5,2008
Atyrau,wheat,0.80000000000000004,2009
Atyrau,wheat,1,2010
Atyrau,wheat,7.7000000000000002,2011
Atyrau,wheat,2.2999999999999998,2012
Atyrau,wheat,5.3799999999999999,2013
Atyrau,wheat,0,2014
Atyrau,wheat,7.5999999999999996,2015
Atyrau,wheat,47,2016
Atyrau,wheat,18,2017
Atyrau,wheat,29.109999999999999,2018
Atyrau,wheat,0,2019
Atyrau,wheat,40,2020
Atyrau,wheat,0,2021
West Kazakhstan,wheat,5.7000000000000002,2004
West Kazakhstan,wheat,3.8999999999999999,2005
West Kazakhstan,wheat,6.0999999999999996,2006
West Kazakhstan,wheat,8.5,2007
West Kazakhstan,wheat,13.300000000000001,2008
West Kazakhstan,wheat,5.4000000000000004,2009
West Kazakhstan,wheat,4.2000000000000002,2010
West Kazakhstan,wheat,9.6999999999999993,2011
West Kazakhstan,wheat,5.4000000000000004,2012
West Kazakhstan,wheat,6.5700000000000003,2013
West Kazakhstan,wheat,7.9000000000000004,2014
West Kazakhstan,wheat,6.5999999999999996,2015
West Kazakhstan,wheat,14.5,2016
West Kazakhstan,wheat,15.1,2017
West Kazakhstan,wheat,6.9800000000000004,2018
West Kazakhstan,wheat,9.8800000000000008,2019
West Kazakhstan,wheat,12.300000000000001,2020
West Kazakhstan,wheat,7.0999999999999996,2021
Zhambyl,wheat,18,2004
Zhambyl,wheat,16.600000000000001,2005
Zhambyl,wheat,11.800000000000001,2006
Zhambyl,wheat,13,2007
Zhambyl,wheat,8.3000000000000007,2008
Zhambyl,wheat,24,2009
Zhambyl,wheat,16.399999999999999,2010
Zhambyl,wheat,17.399999999999999,2011
Zhambyl,wheat,11,2012
Zhambyl,wheat,20.23,2013
Zhambyl,wheat,11.6,2014
Zhambyl,wheat,17.899999999999999,2015
Zhambyl,wheat,24.600000000000001,2016
Zhambyl,wheat,24.5,2017
Zhambyl,wheat,24.23,2018
Zhambyl,wheat,21.27,2019
Zhambyl,wheat,22.300000000000001,2020
Zhambyl,wheat,14,2021
Qaraghandy,wheat,6.7999999999999998,2004
Qaraghandy,wheat,3.8999999999999999,2005
Qaraghandy,wheat,6.2999999999999998,2006
Qaraghandy,wheat,8.0999999999999996,2007
Qaraghandy,wheat,5.7000000000000002,2008
Qaraghandy,wheat,7.9000000000000004,2009
Qaraghandy,wheat,4.5,2010
Qaraghandy,wheat,10.800000000000001,2011
Qaraghandy,wheat,6.5,2012
Qaraghandy,wheat,11.380000000000001,2013
Qaraghandy,wheat,9.1999999999999993,2014
Qaraghandy,wheat,9,2015
Qaraghandy,wheat,12.300000000000001,2016
Qaraghandy,wheat,9.6999999999999993,2017
Qaraghandy,wheat,11.779999999999999,2018
Qaraghandy,wheat,9.2899999999999991,2019
Qaraghandy,wheat,10.800000000000001,2020
Qaraghandy,wheat,9.1999999999999993,2021
Qostanay,wheat,7.9000000000000004,2004
Qostanay,wheat,10.5,2005
Qostanay,wheat,13.4,2006
Qostanay,wheat,15,2007
Qostanay,wheat,11.5,2008
Qostanay,wheat,11.1,2009
Qostanay,wheat,7.2999999999999998,2010
Qostanay,wheat,18.399999999999999,2011
Qostanay,wheat,6.0999999999999996,2012
Qostanay,wheat,9.7300000000000004,2013
Qostanay,wheat,9.9000000000000004,2014
Qostanay,wheat,11.4,2015
Qostanay,wheat,10.800000000000001,2016
Qostanay,wheat,11.6,2017
Qostanay,wheat,11.56,2018
Qostanay,wheat,7.3899999999999997,2019
Qostanay,wheat,10.1,2020
Qostanay,wheat,7.0999999999999996,2021
Qyzylorda,wheat,32,2004
Qyzylorda,wheat,30.699999999999999,2005
Qyzylorda,wheat,30.399999999999999,2006
Qyzylorda,wheat,31.100000000000001,2007
Qyzylorda,wheat,30.699999999999999,2008
Qyzylorda,wheat,33.5,2009
Qyzylorda,wheat,38.5,2010
Qyzylorda,wheat,34.700000000000003,2011
Qyzylorda,wheat,34.600000000000001,2012
Qyzylorda,wheat,37.280000000000001,2013
Qyzylorda,wheat,38.200000000000003,2014
Qyzylorda,wheat,42.299999999999997,2015
Qyzylorda,wheat,46.600000000000001,2016
Qyzylorda,wheat,45.899999999999999,2017
Qyzylorda,wheat,46.460000000000001,2018
Qyzylorda,wheat,53.229999999999997,2019
Qyzylorda,wheat,52.100000000000001,2020
Qyzylorda,wheat,47.700000000000003,2021
Türkistan,wheat,21.300000000000001,2004
Türkistan,wheat,16.800000000000001,2005
Türkistan,wheat,14.6,2006
Türkistan,wheat,17,2007
Türkistan,wheat,11.6,2008
Türkistan,wheat,21.199999999999999,2009
Türkistan,wheat,17.600000000000001,2010
Türkistan,wheat,17,2011
Türkistan,wheat,15.4,2012
Türkistan,wheat,21.77,2013
Türkistan,wheat,17.699999999999999,2014
Türkistan,wheat,23.199999999999999,2015
Türkistan,wheat,24.300000000000001,2016
Türkistan,wheat,20.699999999999999,2017
Türkistan,wheat,28.719999999999999,2018
Türkistan,wheat,37.460000000000001,2019
Türkistan,wheat,35.200000000000003,2020
Türkistan,wheat,28.199999999999999,2021
Pavlodar,wheat,6.2000000000000002,2004
Pavlodar,wheat,5.2000000000000002,2005
Pavlodar,wheat,6.7000000000000002,2006
Pavlodar,wheat,8.3000000000000007,2007
Pavlodar,wheat,3.7000000000000002,2008
Pavlodar,wheat,13.5,2009
Pavlodar,wheat,5.4000000000000004,2010
Pavlodar,wheat,7.4000000000000004,2011
Pavlodar,wheat,3.7000000000000002,2012
Pavlodar,wheat,11.74,2013
Pavlodar,wheat,5.9000000000000004,2014
Pavlodar,wheat,8.6999999999999993,2015
Pavlodar,wheat,10.300000000000001,2016
Pavlodar,wheat,9.8000000000000007,2017
Pavlodar,wheat,10.59,2018
Pavlodar,wheat,7.5999999999999996,2019
Pavlodar,wheat,8.5,2020
Pavlodar,wheat,11.6,2021
North Kazakhstan,wheat,9.3000000000000007,2004
North Kazakhstan,wheat,11.199999999999999,2005
North Kazakhstan,wheat,14.5,2006
North Kazakhstan,wheat,15.1,2007
North Kazakhstan,wheat,12.4,2008
North Kazakhstan,wheat,14.5,2009
North Kazakhstan,wheat,9.6999999999999993,2010
North Kazakhstan,wheat,20.899999999999999,2011
North Kazakhstan,wheat,11.699999999999999,2012
North Kazakhstan,wheat,12.77,2013
North Kazakhstan,wheat,14.6,2014
North Kazakhstan,wheat,15.800000000000001,2015
North Kazakhstan,wheat,15.699999999999999,2016
North Kazakhstan,wheat,16.300000000000001,2017
North Kazakhstan,wheat,15.470000000000001,2018
North Kazakhstan,wheat,14.41,2019
North Kazakhstan,wheat,14.300000000000001,2020
North Kazakhstan,wheat,11.5,2021
East Kazakhstan,wheat,11.6,2004
East Kazakhstan,wheat,10.4,2005
East Kazakhstan,wheat,9.5,2006
East Kazakhstan,wheat,11.9,2007
East Kazakhstan,wheat,4.2999999999999998,2008
East Kazakhstan,wheat,15.9,2009
East Kazakhstan,wheat,10,2010
