region,product,thous_hect,year
Aqmola,wheat,2215.4000000000001,2004
Aqmola,wheat,2622.5,2005
Aqmola,wheat,3060.6999999999998,2006
Aqmola,wheat,3942.6999999999998,2007
Aqmola,wheat,2620.9000000000001,2008
Aqmola,wheat,4414.1999999999998,2009
Aqmola,wheat,1969,2010
Aqmola,wheat,6052.4000000000005,2011
Aqmola,wheat,2552.9000000000001,2012
Aqmola,wheat,3787.2000000000003,2013
Aqmola,wheat,3936.9000000000001,2014
Aqmola,wheat,3872.6999999999998,2015
Aqmola,wheat,4262.6000000000004,2016
Aqmola,wheat,4006.2999999999997,2017
Aqmola,wheat,3995.04,2018
Aqmola,wheat,3294.9500000000003,2019
Aqmola,wheat,4128.8400000000001,2020
Aqtöbe,wheat,306.80000000000001,2004
Aqtöbe,wheat,178.80000000000001,2005
Aqtöbe,wheat,108.2,2006
Aqtöbe,wheat,365.39999999999998,2007
Aqtöbe,wheat,419.5,2008
Aqtöbe,wheat,328.10000000000002,2009
Aqtöbe,wheat,59.700000000000003,2010
Aqtöbe,wheat,376.10000000000002,2011
Aqtöbe,wheat,72.799999999999997,2012
Aqtöbe,wheat,176.5,2013
Aqtöbe,wheat,115,2014
Aqtöbe,wheat,129.80000000000001,2015
Aqtöbe,wheat,298.89999999999998,2016
Aqtöbe,wheat,364.89999999999998,2017
Aqtöbe,wheat,339.31999999999999,2018
Aqtöbe,wheat,254.15000000000001,2019
Aqtöbe,wheat,345.08999999999997,2020
Almaty,wheat,431.69999999999999,2004
Almaty,wheat,446.89999999999998,2005
Almaty,wheat,407.5,2006
Almaty,wheat,407.60000000000002,2007
Almaty,wheat,143.09999999999999,2008
Almaty,wheat,425.30000000000001,2009
Almaty,wheat,399.60000000000002,2010
Almaty,wheat,405.5,2011
Almaty,wheat,305.69999999999999,2012
Almaty,wheat,305.89999999999998,2013
Almaty,wheat,237.09999999999999,2014
Almaty,wheat,264.10000000000002,2015
Almaty,wheat,295.80000000000001,2016
Almaty,wheat,262.19999999999999,2017
Almaty,wheat,253.82000000000002,2018
Almaty,wheat,245.44,2019
Almaty,wheat,241.26000000000002,2020
