year,kazakhstan,canada
2004,8.4000000000000004,26.399999999999999
2005,9.5,27.399999999999999
2006,11.300000000000001,26.100000000000001
2007,13,23.300000000000001
2008,9.6999999999999993,28.600000000000001
2009,11.9,27.899999999999999
2010,7.2999999999999998,28.100000000000001
2011,16.600000000000001,29.600000000000001
2012,7.9299999999999997,28.699999999999999
2013,10.76,36
2014,10.9,30.800000000000001
2015,11.9,28.899999999999999
2016,12.1,35.799999999999997
2017,12.4,33.399999999999999
2018,12.279999999999999,32.200000000000003
2019,10.1,33.5
2020,11.800000000000001,35.100000000000001
2021,9.3000000000000007,33.600000000000001
